n      n2       Graph creation           Connected Components     Shortest Path            total                    Memory Usage           
10    100      0.0009996891021728516    0.0                      0.0                      23782.000999689102       23782                   
50    2500     0.006000995635986328     0.023443937301635742     0.0                      2429086.029444933        2429086                 
100   10000    0.03025197982788086      0.09409618377685547      0.0                      12801180.124348164       12801180                
500   250000   0.9627082347869873       2.1985976696014404       0.0020363330841064453    275306347.1613059        275306344               
1000  1000000  4.269965171813965        14.197536945343018       0.012943267822265625     1334990466.467502        1334990448              
